fecha;canal;sku;descripcion;marca;categoria;cantidad;venta_bruta_clp;costo_total_clp;margen_clp;margen_pct;estado_orden;estado_despacho;fuente;num_pedido;num_suborden
2026-04-01;Falabella;R1738;Cortina Roller Duo Lino Beige Sand 240x240cm;Vincenzi;Cortinas y Persianas;2;99980.00;51880;2768.40;0.0298;Regular;Entregado;wivo;3230532380;3230532380
2026-04-01;Falabella;R2745;Pack 7 Repuestos Mopa Vapor 5 en 1;B-Fresh;Limpieza del Hogar;1;6990.00;3358;-1170.77;-0.1993;Regular;Entregado;wivo;3230568141;3230568141
2026-04-01;Falabella;R2745;Pack 7 Repuestos Mopa Vapor 5 en 1;B-Fresh;Limpieza del Hogar;1;6990.00;3358;-1170.77;-0.1993;Regular;Sin Información;wivo;3230568141;3230568141
2026-04-01;Falabella;R2854;Cortina Roller Garden Beige 150x250cm;Vincenzi;Cortinas de Exterior;3;113970.00;39342;18083.85;0.1816;Regular;Sin Información;wivo;3230533577;3230533577
2026-04-01;Falabella;R2854;Cortina Roller Garden Beige 150x250cm;Vincenzi;Cortinas de Exterior;1;37990.00;13114;6027.94;0.1816;Regular;Sin Información;wivo;3230497802;3230497802
2026-04-01;Falabella;R2854;Cortina Roller Garden Beige 150x250cm;Vincenzi;Cortinas de Exterior;3;113970.00;39342;18083.85;0.1816;Regular;Entregado;wivo;3230533577;3230533577
2026-04-01;Falabella;R2854;Cortina Roller Garden Beige 150x250cm;Vincenzi;Cortinas de Exterior;1;37990.00;13114;6027.94;0.1816;Regular;Entregado;wivo;3230497802;3230497802
2026-04-01;Falabella;R3015;Lámpara Luminoterapia;Acqui;Terapia y Rehabilitación;1;34990.00;15593;1174.90;0.0400;Regular;Entregado;wivo;3230572536;3230572536
2026-04-01;Falabella;R3015;Lámpara Luminoterapia;Acqui;Terapia y Rehabilitación;1;34990.00;15593;1174.90;0.0400;Regular;Sin Información;wivo;3230572536;3230572536
2026-04-01;Falabella;R3096;Cortina Roller Garden Blanca 200x250cm;Vincenzi;Cortinas de Exterior;2;99980.00;33179;16238.84;0.1933;Regular;Sin Información;wivo;3230540973;3230540973
2026-04-01;Falabella;R3096;Cortina Roller Garden Blanca 200x250cm;Vincenzi;Cortinas de Exterior;2;99980.00;33179;16238.84;0.1933;Regular;Entregado;wivo;3230540973;3230540973
2026-04-01;Falabella;R3329;Cama Elástica + Malla y Escalera 12ft;GlowUp;Juegos de Exterior;1;179990.00;104245;-4115.76;-0.0251;Regular;Entregado;wivo;3230573055;3230573055
2026-04-01;Falabella;R3329;Cama Elástica + Malla y Escalera 12ft;GlowUp;Juegos de Exterior;1;199990.00;104245;-1384.67;-0.0082;Regular;Entregado;wivo;3230570664;3230570664
2026-04-01;Falabella;R3329;Cama Elástica + Malla y Escalera 12ft;GlowUp;Juegos de Exterior;1;179990.00;104245;-4115.76;-0.0251;Regular;Entregado;wivo;3230580378;3230580378
2026-04-01;Falabella;R3329;Cama Elástica + Malla y Escalera 12ft;GlowUp;Juegos de Exterior;1;199990.00;104245;-1384.67;-0.0082;Regular;Sin Información;wivo;3230570664;3230570664
